"carat","cut","color","clarity","depth","table","price","x","y","z"
0.79,"Ideal","E","VS2",59.3,57,3377,6.02,6.06,3.58
2.07,"Fair","G","I1",67.7,56,6503,7.76,7.73,5.25
0.7,"Very Good","E","VS1",63.4,57,3095,5.63,5.67,3.58
0.91,"Good","H","SI1",63.8,56,3323,6.09,6.04,3.87
0.72,"Very Good","J","SI1",57.6,63,2123,5.89,5.95,3.41
0.9,"Ideal","D","SI1",61.6,56,4351,6.19,6.21,3.82
1.55,"Very Good","G","SI1",59.2,59,10707,7.51,7.59,4.47
0.5,"Ideal","G","VS2",61.6,55,1400,5.11,5.14,3.16
1.26,"Premium","F","VS1",62.7,58,9896,6.86,6.93,4.32
2,"Very Good","G","SI2",63.5,55,15485,8.03,7.93,5.07
0.6,"Very Good","E","VS1",60.9,58,2112,5.43,5.48,3.32
0.44,"Very Good","I","VS2",62.5,57,795,4.85,4.88,3.04
1.51,"Premium","H","VVS1",60.6,60,12336,7.42,7.4,4.49
0.3,"Ideal","D","VVS1",62.1,56,853,4.31,4.32,2.68
0.31,"Premium","H","VS1",59.9,59,698,4.4,4.38,2.63
0.71,"Good","F","SI1",57.9,53,2300,5.84,5.8,3.37
0.27,"Ideal","I","VS2",62.1,56,534,4.14,4.18,2.58
1.06,"Very Good","D","VS2",59.6,60,7149,6.68,6.71,3.99
0.31,"Ideal","F","VVS1",61.4,56,840,4.37,4.4,2.69
1.19,"Good","G","VVS2",61.1,61,8995,6.86,6.83,4.18
1.05,"Ideal","D","SI1",60,55,5104,6.66,6.61,3.98
0.51,"Ideal","F","VS2",61,57,1619,5.16,5.11,3.13
1.01,"Good","F","VS2",60.1,60,5902,6.46,6.51,3.9
0.4,"Very Good","I","VS2",61.4,57.6,655,4.73,4.78,2.92
0.92,"Premium","E","SI1",62.1,58,4482,6.22,6.15,3.84
0.3,"Ideal","F","IF",62.3,53,886,4.34,4.36,2.71
0.41,"Good","D","SI1",56.5,63,758,4.98,4.94,2.8
1,"Fair","E","VS2",57.3,64,6285,6.59,6.46,3.79
0.5,"Premium","E","SI2",61.8,59,1181,5.07,5.03,3.12
1.65,"Very Good","J","SI1",61.7,56,7903,7.61,7.66,4.71
0.9,"Good","F","SI1",62.5,59,4119,6.1,6.13,3.82
0.3,"Very Good","D","SI1",62.6,56,552,4.24,4.29,2.67
1.01,"Good","E","VS2",56.7,61,6606,6.71,6.66,3.79
0.71,"Good","I","VVS1",63.4,57,2549,5.67,5.71,3.61
0.5,"Premium","F","I1",60.5,60,770,5.15,5.07,3.1
0.28,"Ideal","H","IF",62,56,586,4.2,4.23,2.61
0.29,"Very Good","G","VVS1",61.4,56,607,4.25,4.28,2.62
2,"Fair","G","SI1",65.5,58,11935,7.82,7.73,5.09
0.5,"Fair","D","SI1",64.6,59,1253,4.93,4.95,3.19
0.5,"Very Good","D","SI1",62.8,53,1436,5.04,5.08,3.18
1.2,"Premium","F","SI2",61.9,59,5699,6.86,6.74,4.21
0.3,"Very Good","G","VVS2",60.4,60,638,4.3,4.34,2.61
1,"Very Good","E","VS2",62.9,57,7607,6.33,6.35,3.99
0.3,"Premium","G","VVS2",61.9,59,878,4.28,4.25,2.64
1.07,"Ideal","F","SI1",61.5,56,7286,6.58,6.62,4.06
1,"Premium","G","VS2",62,62,5645,6.41,6.36,3.96
1.17,"Very Good","D","SI2",60.9,60,6062,6.72,6.78,4.11
0.71,"Ideal","F","VS1",62.7,57,3041,5.66,5.7,3.56
0.3,"Premium","J","VS1",62.6,58,506,4.31,4.28,2.69
0.41,"Ideal","F","IF",61.7,56,1304,4.79,4.83,2.97
1.22,"Ideal","G","VS2",62,57,8062,6.88,6.83,4.25
0.35,"Ideal","G","IF",61.8,56,1041,4.57,4.52,2.81
0.75,"Ideal","E","VS2",60.2,57,3136,5.93,5.9,3.56
0.28,"Very Good","E","VVS1",61.1,60,646,4.17,4.21,2.56
1.21,"Ideal","I","VS1",60.3,60,6279,6.89,6.93,4.17
1.27,"Ideal","G","VS2",61.9,57,9489,6.9,6.93,4.28
0.41,"Ideal","G","VS1",61.6,57,961,4.77,4.74,2.93
0.39,"Premium","H","VS1",61.7,57,1009,4.68,4.65,2.88
0.91,"Very Good","F","VS2",60.8,57,4606,6.24,6.25,3.8
0.44,"Premium","D","SI1",61.9,59,1089,4.9,4.86,3.02
0.52,"Ideal","D","VS2",61.8,57,1919,5.2,5.16,3.2
0.7,"Premium","F","SI1",60.5,58,2264,5.77,5.84,3.51
1.01,"Very Good","F","SI1",61,57,5174,6.44,6.54,3.96
1.56,"Premium","H","VS2",62.2,58,10424,7.41,7.44,4.62
0.33,"Ideal","F","VVS1",61.9,56,1021,4.47,4.42,2.75
1.01,"Very Good","I","SI1",61.4,62,4693,6.39,6.45,3.94
0.7,"Ideal","G","VVS1",60.7,57,3303,5.73,5.76,3.49
0.3,"Fair","F","SI1",64.6,56,599,4.27,4.25,2.75
1.01,"Good","G","VVS2",63.2,59,7528,6.34,6.38,4.02
0.41,"Premium","D","VS2",61.8,58,846,4.76,4.79,2.95
1.51,"Fair","H","SI1",55.8,61,7509,7.72,7.63,4.28
1.11,"Ideal","H","SI2",63.5,60,4538,6.58,6.49,4.15
1.01,"Good","H","SI2",57.9,59,3903,6.64,6.59,3.83
1.56,"Premium","G","SI1",58.8,57,10766,7.68,7.62,4.5
1.54,"Very Good","I","VVS2",62.7,57,10518,7.35,7.43,4.63
0.52,"Very Good","F","VS2",61.1,56,1591,5.21,5.24,3.19
0.33,"Premium","G","VS1",62.8,58,854,4.41,4.38,2.76
0.9,"Ideal","I","VS2",62.6,54.3,3820,6.14,6.17,3.86
0.38,"Ideal","F","VVS1",61,57,1096,4.67,4.71,2.86
1.03,"Premium","F","VS2",62.6,58,5774,6.45,6.4,4.02
0.3,"Ideal","F","VS2",61.8,56,776,4.31,4.3,2.66
1.5,"Premium","F","VS2",61.3,61,14372,7.36,7.33,4.5
1.51,"Premium","J","VS2",62.8,59,7553,7.28,7.2,4.55
0.32,"Premium","G","SI1",62.6,58,477,4.31,4.35,2.71
1.04,"Premium","E","SI1",61.2,59,5894,6.54,6.47,3.98
2.09,"Very Good","H","SI1",61.1,56,18392,8.23,8.3,5.05
1.02,"Premium","I","SI1",58,58,4284,6.84,6.6,3.9
0.4,"Very Good","H","SI1",62.8,59,666,4.67,4.69,2.94
1.12,"Premium","D","SI2",61.2,60,5329,6.67,6.63,4.07
1.22,"Ideal","H","SI2",62.3,57,6398,6.84,6.89,4.28
1.03,"Premium","H","SI1",60,60,4603,6.41,6.4,4.02
0.72,"Good","G","VS2",59.7,60.5,2776,5.8,5.84,3.47
0.31,"Ideal","G","VS2",62.9,56,698,4.34,4.28,2.71
0.3,"Ideal","I","VS1",61.6,56,608,4.36,4.31,2.67
0.23,"Very Good","E","VVS2",61.3,57,505,3.97,4.02,2.45
0.3,"Ideal","G","VS1",60.4,55,637,4.38,4.41,2.66
0.7,"Ideal","H","VS2",61.2,57,3145,5.73,5.77,3.52
1.03,"Ideal","F","VS1",60.7,56,7429,6.6,6.54,3.99
2.13,"Premium","F","SI2",62.4,58,13760,8.22,8.16,5.11
1.59,"Premium","I","VS2",62.9,56,10471,7.48,7.43,4.69
2,"Ideal","I","SI1",62.8,56,15258,8.04,7.95,5.02
0.63,"Ideal","F","VVS2",61.9,57,2835,5.47,5.51,3.4
0.83,"Premium","G","SI1",62.3,58,2863,6.01,5.97,3.73
0.72,"Ideal","F","VS1",60.5,56,3759,5.82,5.85,3.53
0.38,"Ideal","F","SI1",61.1,57,660,4.7,4.72,2.88
0.51,"Very Good","F","SI1",63.7,55,1271,5.06,5.11,3.24
0.53,"Ideal","H","SI1",61.3,55,1268,5.23,5.27,3.22
0.7,"Premium","H","VS2",61.8,60,2330,5.68,5.71,3.52
0.32,"Very Good","G","VS1",62.9,57,645,4.37,4.4,2.76
0.37,"Premium","F","VS2",59.8,59,746,4.63,4.66,2.78
1.02,"Ideal","D","SI1",61.2,56,6040,6.51,6.56,4
1.51,"Very Good","G","VS1",60.2,63,12430,7.39,7.36,4.44
1.5,"Premium","I","SI2",61.2,59,7476,7.39,7.36,4.51
0.76,"Very Good","F","VVS1",59.6,58,4504,5.91,5.96,3.54
0.9,"Good","G","SI2",63.7,62,3014,6.07,6.01,3.85
0.3,"Ideal","H","VVS1",62.2,57,665,4.28,4.31,2.67
0.51,"Ideal","H","VS1",61.8,57,1573,5.11,5.14,3.16
0.3,"Very Good","E","VS2",61.8,58,658,4.26,4.28,2.64
1.01,"Ideal","F","I1",62.2,54,3439,6.44,6.42,4
1.01,"Premium","J","SI2",58.3,62,2683,6.49,6.43,3.77
0.32,"Premium","D","SI1",60.9,60,589,4.39,4.41,2.68
2.12,"Premium","H","SI1",61.1,60,18656,8.18,8.26,5.02
0.3,"Premium","G","IF",60,59,956,4.34,4.32,2.6
1.33,"Premium","G","SI2",63,59,6480,7,6.97,4.4
1.01,"Ideal","F","VS1",61.8,57,8860,6.41,6.46,3.98
0.55,"Ideal","E","VS1",62,56,2107,5.27,5.24,3.26
0.53,"Premium","E","SI2",62.2,57,984,5.2,5.16,3.22
0.4,"Very Good","D","VS1",64,57,995,4.66,4.69,2.99
1.22,"Ideal","H","VS1",62.3,55,7418,6.8,6.84,4.25
0.42,"Ideal","H","VVS2",62.4,56,921,4.78,4.8,2.99
1,"Fair","H","VS1",57.4,68,4368,6.52,6.47,3.73
0.91,"Premium","E","SI1",62.1,58,4332,6.15,6.18,3.83
1.27,"Premium","F","VVS2",61.3,60,11905,6.99,6.9,4.26
0.31,"Good","H","VVS2",63.4,56,625,4.29,4.32,2.73
0.27,"Ideal","D","VVS2",62.6,56,622,4.13,4.15,2.59
0.41,"Premium","D","SI2",62.3,61,818,4.75,4.72,2.95
0.31,"Good","G","VVS2",63.3,57,707,4.28,4.31,2.72
0.45,"Ideal","E","VVS2",61.9,56,1401,4.95,4.91,3.05
0.3,"Ideal","E","VVS2",62.8,55,731,4.28,4.32,2.7
0.5,"Ideal","F","SI2",60.9,57,1094,5.15,5.1,3.12
0.35,"Ideal","F","IF",60.9,55,1312,4.58,4.61,2.8
2.01,"Ideal","G","SI2",61.9,57,17555,8,8.08,4.98
0.54,"Ideal","F","VS2",60.5,56,1680,5.27,5.29,3.2
1.03,"Ideal","F","VS2",62.3,56,7392,6.43,6.45,4.01
0.52,"Ideal","D","VS1",60.4,56,2146,5.24,5.26,3.17
0.7,"Very Good","G","VS1",63,60,2812,5.57,5.64,3.53
1,"Very Good","F","SI1",63.1,59,4234,6.29,6.22,3.95
0.51,"Ideal","E","VS2",61.8,56,1656,5.12,5.14,3.17
0.3,"Ideal","E","VS2",62,56,658,4.3,4.34,2.68
0.51,"Very Good","F","SI1",62.9,56,1308,5.05,5.1,3.19
0.34,"Ideal","G","VS2",61.4,57,765,4.51,4.48,2.76
0.32,"Very Good","H","VS2",60.6,58,505,4.44,4.47,2.7
1.03,"Ideal","H","VVS2",62.4,53,6560,6.45,6.51,4.05
0.52,"Premium","E","VS2",60.7,58,1689,5.17,5.21,3.15
2.48,"Premium","I","SI2",63,62,17607,8.62,8.58,5.42
1.14,"Very Good","G","SI2",62.4,60,4875,6.6,6.67,4.14
0.51,"Ideal","G","VVS1",62.6,57,2111,5.14,5.08,3.2
0.75,"Premium","I","SI1",59.1,58,2295,5.91,5.87,3.48
0.58,"Ideal","G","VVS2",61.6,56,2135,5.37,5.4,3.31
1.01,"Premium","J","SI2",62.5,62,3563,6.41,6.36,3.99
2.07,"Premium","E","SI1",61.2,58,16957,8.24,8.19,5.03
1.04,"Premium","I","SI1",60.7,59,4601,6.6,6.57,4
0.71,"Very Good","J","VS2",62.1,58,1675,5.71,5.73,3.55
1.25,"Ideal","E","SI2",62.3,58,7289,6.86,6.89,4.28
0.41,"Premium","D","SI2",62.4,60,876,4.77,4.71,2.96
0.96,"Fair","F","SI2",65.2,58,3688,6.14,6.12,3.99
0.61,"Ideal","H","VS1",60.8,56,2053,5.51,5.47,3.34
0.57,"Ideal","G","SI1",62.1,55,1441,5.32,5.34,3.31
2,"Premium","I","SI2",58.6,61,14199,8.28,8.16,4.82
0.56,"Ideal","F","VS2",62.3,55,1729,5.32,5.28,3.3
1.74,"Very Good","H","I1",63.2,55,4677,7.62,7.59,4.8
1.01,"Ideal","D","SI1",63,56,6579,6.36,6.41,4.02
0.5,"Ideal","G","VVS2",60.5,55,1838,5.13,5.15,3.11
1.12,"Premium","H","SI1",62,56,5291,6.68,6.61,4.12
1,"Very Good","F","VS2",63.8,56.9,6841,6.29,6.36,4.04
1.01,"Very Good","F","VS1",63.2,58,7107,6.32,6.34,4
0.3,"Ideal","H","VVS2",61.5,56,605,4.33,4.35,2.67
0.97,"Very Good","G","SI2",59.8,58,3960,6.38,6.42,3.83
0.5,"Ideal","E","SI1",60.8,57,1410,5.09,5.14,3.11
0.53,"Ideal","G","VVS2",60.4,56,1818,5.29,5.24,3.18
0.4,"Ideal","G","VS2",62.5,54,792,4.72,4.75,2.96
0.61,"Ideal","D","VVS2",60.1,57,3336,5.53,5.58,3.34
0.32,"Ideal","G","VVS1",61.8,54,814,4.41,4.43,2.73
0.33,"Premium","E","VS2",61,60,928,4.47,4.42,2.71
1.02,"Ideal","G","SI2",62,55,4366,6.4,6.51,4
0.79,"Very Good","F","SI2",62.6,57,2655,5.84,5.86,3.66
1.25,"Ideal","D","VS2",62.6,56,9933,6.84,6.87,4.29
0.33,"Very Good","G","VVS2",63,57,752,4.38,4.42,2.77
0.72,"Very Good","H","SI2",62.6,53,1970,5.75,5.78,3.61
0.96,"Premium","E","SI2",62.6,60,4113,6.32,6.26,3.94
0.4,"Ideal","D","SI1",61.8,55,990,4.78,4.74,2.94
1.01,"Ideal","J","VS2",61.3,56,4617,6.46,6.5,3.97
0.54,"Ideal","G","VS1",61.3,57,1847,5.28,5.25,3.23
0.34,"Very Good","G","VS1",60.4,61,686,4.48,4.53,2.72
0.71,"Good","F","VVS2",58.9,61,2960,5.8,5.9,3.44
2.02,"Premium","H","SI1",61.4,61,13229,8.09,8.03,4.95
0.43,"Ideal","H","SI1",61.6,55,919,4.9,4.87,3.01
0.35,"Very Good","G","VVS1",61.2,57,842,4.55,4.58,2.79
0.41,"Ideal","E","SI1",62.5,57,969,4.79,4.74,2.98
0.75,"Very Good","I","SI1",63.7,56,2300,5.73,5.77,3.66
1.02,"Ideal","I","SI1",61.3,57,4685,6.47,6.49,3.97
0.27,"Very Good","D","VVS1",62.3,54,721,4.18,4.21,2.61
1.25,"Premium","I","VS2",61.2,58,6300,6.94,6.89,4.23
0.91,"Very Good","D","SI1",62,60,4444,6.12,6.2,3.82
1,"Premium","E","VS2",62.9,58,6400,6.36,6.29,3.98
0.51,"Very Good","E","SI1",61.3,54,1438,5.13,5.18,3.16
0.61,"Ideal","F","SI2",61.9,57,1588,5.45,5.41,3.36
0.9,"Very Good","H","SI1",61.7,57,3772,6.21,6.26,3.85
1.54,"Ideal","G","VS2",60.2,59,13508,7.47,7.52,4.51
1.51,"Ideal","I","SI1",61.2,58,8752,7.35,7.4,4.51
1.21,"Premium","H","SI2",61.9,55,5218,6.84,6.79,4.22
1.01,"Premium","G","VS2",59.2,59,6108,6.59,6.52,3.88
0.71,"Very Good","E","VS2",63.8,58,2804,5.62,5.66,3.6
0.43,"Ideal","D","VS2",60.7,57,1129,4.91,4.88,2.97
0.45,"Good","F","VVS1",63.8,58,1548,4.85,4.78,3.07
0.43,"Ideal","D","VS1",62.1,55,1264,4.86,4.83,3.01
1.06,"Very Good","G","VS1",63,56,6863,6.47,6.51,4.09
0.74,"Premium","F","VS2",62.3,58,2560,5.77,5.72,3.58
0.42,"Ideal","G","VVS1",61.6,55,1179,4.82,4.85,2.98
0.51,"Good","H","VS1",63.7,55,1438,5.07,5.1,3.24
0.41,"Good","G","VVS1",61,61,986,4.77,4.8,2.92
0.7,"Premium","F","SI1",62.2,59,2401,5.69,5.73,3.55
0.51,"Very Good","E","VVS2",61.3,55,2320,5.14,5.16,3.16
0.86,"Very Good","D","VS2",62.8,55,4191,6.07,6.13,3.83
0.7,"Very Good","E","VS1",63.4,62,2695,5.64,5.56,3.55
1.04,"Premium","I","SI2",61.6,56,3960,6.56,6.49,4.02
1.61,"Ideal","E","SI2",61.3,59,11220,7.47,7.57,4.61
0.31,"Ideal","H","SI1",61.5,55,464,4.39,4.42,2.71
0.3,"Ideal","F","IF",61.1,57,947,4.35,4.39,2.67
0.4,"Good","F","VS2",62.2,61,784,4.71,4.74,2.94
1.14,"Ideal","I","SI1",61.8,57,4724,6.76,6.68,4.15
1.12,"Premium","I","VS2",61.9,58,5119,6.68,6.63,4.12
1.2,"Ideal","D","SI1",61.1,56,9317,6.86,6.89,4.2
0.57,"Ideal","H","SI1",61.8,55,1292,5.31,5.37,3.3
0.53,"Good","D","VS1",60.2,56,1775,5.22,5.28,3.16
0.5,"Very Good","F","VVS2",61.8,56,2052,5.11,5.15,3.17
0.76,"Premium","E","VS2",60.1,59,3192,6.01,5.97,3.6
1.02,"Good","E","VS2",63.2,60,6462,6.29,6.34,3.99
0.73,"Ideal","G","VVS1",61.3,56,3667,5.79,5.82,3.56
0.8,"Premium","F","SI1",60.1,58,3082,6.07,6.05,3.64
0.38,"Very Good","D","VVS2",61.9,56,1200,4.63,4.65,2.87
0.7,"Premium","G","VS2",59.4,59,2657,5.79,5.76,3.43
0.51,"Very Good","E","VS2",62.8,56,1612,5.11,5.14,3.22
0.41,"Ideal","G","VVS2",61.3,56,1007,4.76,4.77,2.92
2,"Very Good","H","SI1",63.3,59,17760,8.03,7.96,5.06
1.24,"Ideal","H","VS1",61,57,8719,6.91,6.95,4.23
0.37,"Ideal","G","SI1",61.8,55,745,4.62,4.64,2.86
1.01,"Very Good","E","SI1",60,60,5556,6.45,6.49,3.88
0.75,"Ideal","H","SI1",60.4,57,2801,5.93,5.96,3.59
0.57,"Ideal","E","SI1",62.1,56,1608,5.3,5.33,3.3
0.31,"Ideal","G","VVS1",61.6,56,1046,4.39,4.35,2.69
1.59,"Ideal","I","SI1",62.4,56,10106,7.48,7.46,4.66
2.06,"Very Good","I","SI2",62.3,57,14298,8.12,8.2,5.09
0.58,"Ideal","F","SI2",61.8,56,1279,5.42,5.39,3.34
1.67,"Ideal","G","VS1",61.5,55,16643,7.62,7.67,4.7
1.78,"Premium","H","SI2",59.1,60,11262,7.93,7.87,4.67
1.09,"Ideal","G","VS2",62.3,57,6480,6.6,6.57,4.1
0.41,"Ideal","E","SI2",61.9,57,876,4.8,4.76,2.96
0.79,"Ideal","D","SI1",61.5,56,2896,5.91,5.96,3.65
1.21,"Premium","J","SI1",59.9,60,4770,6.89,6.86,4.12
0.4,"Ideal","G","VVS1",62.4,54,1043,4.73,4.76,2.96
1.2,"Premium","F","VS2",62.8,59,8964,6.78,6.69,4.23
0.41,"Ideal","G","SI1",62.2,56,861,4.77,4.75,2.96
1,"Premium","F","SI2",62.4,61,4155,6.34,6.32,3.95
1.05,"Premium","G","SI2",60.1,60,3828,6.58,6.66,3.98
1.5,"Premium","E","VS2",59.4,62,12587,7.48,7.4,4.42
0.3,"Very Good","E","VVS2",60.7,55,814,4.35,4.36,2.65
0.76,"Good","G","SI1",57.7,63,2425,5.97,6.05,3.47
0.4,"Premium","E","VVS1",61.4,59,1333,4.68,4.74,2.89
1.53,"Very Good","H","VS2",62.2,58,11178,7.3,7.34,4.55
0.74,"Fair","H","SI2",62,53,1962,5.85,5.74,3.6
0.38,"Premium","I","SI1",60.2,60,746,4.68,4.65,2.81
2.4,"Premium","J","SI1",59.7,58,16304,8.75,8.71,5.21
0.38,"Ideal","J","SI1",61.8,54,525,4.68,4.7,2.9
1,"Good","E","VS2",60.7,62,6279,6.33,6.46,3.88
1.5,"Good","F","SI2",62.4,55,7738,7.27,7.34,4.56
0.3,"Ideal","H","VVS1",62.3,57,665,4.27,4.3,2.67
1.6,"Fair","D","SI2",64.7,58,8666,7.35,7.28,4.73
0.3,"Ideal","E","VVS1",62.5,54,763,4.29,4.32,2.69
2.01,"Ideal","I","SI1",62.9,55,12606,8.07,8,5.05
0.56,"Ideal","G","VS1",60.6,56,1819,5.33,5.36,3.24
0.52,"Ideal","H","VS1",62,55.4,1575,5.16,5.21,3.21
0.53,"Very Good","F","VS1",61.5,59,1821,5.19,5.22,3.2
1.18,"Premium","E","SI2",62.5,60,5181,6.74,6.7,4.2
1.5,"Ideal","G","VS1",60.6,57,13034,7.47,7.36,4.49
1.74,"Ideal","J","SI1",62.1,54,9208,7.73,7.69,4.79
1.53,"Ideal","E","SI1",62,58,10836,7.33,7.41,4.57
0.71,"Premium","F","VS2",61.9,59,2686,5.75,5.72,3.55
0.87,"Very Good","H","SI1",62.2,57,3180,6.05,6.11,3.78
0.51,"Ideal","D","VS1",62.4,57,1873,5.13,5.09,3.19
1.36,"Ideal","I","SI1",62,56,7218,7.08,7.11,4.4
0.5,"Premium","D","SI1",62.2,57,1654,5.11,5.08,3.17
0.41,"Ideal","F","VVS2",61.4,55.7,1026,4.76,4.79,2.94
0.91,"Ideal","H","SI1",62.1,57,4919,6.18,6.21,3.85
0.5,"Good","I","SI2",65.3,56,855,4.91,5.01,3.24
0.36,"Ideal","I","VVS1",61.6,56,607,4.58,4.61,2.83
0.51,"Very Good","E","VVS1",62.2,60,2579,5.08,5.12,3.17
0.32,"Ideal","G","VVS1",62.4,55,842,4.37,4.38,2.73
0.72,"Ideal","F","SI2",62,55,2224,5.75,5.79,3.58
0.35,"Ideal","G","IF",62.3,55,1116,4.52,4.5,2.81
0.5,"Ideal","G","VVS1",62.2,54,1883,5.1,5.13,3.18
0.31,"Good","E","SI1",63.9,56,698,4.31,4.27,2.74
1.02,"Premium","F","SI2",62.5,58,3686,6.4,6.47,4.02
0.9,"Good","F","SI1",61,62,3733,6.17,6.26,3.79
0.5,"Ideal","H","SI1",62.2,57,1140,5.07,5.09,3.16
1.04,"Premium","F","SI2",60.2,58,4717,6.6,6.55,3.96
0.32,"Ideal","F","VS2",61.4,55,781,4.42,4.44,2.72
1.01,"Ideal","G","VS2",61,56,6734,6.47,6.51,3.96
0.41,"Ideal","F","VS1",61.9,57,1007,4.73,4.77,2.94
0.61,"Very Good","F","VVS2",60.5,58.5,2274,5.44,5.64,3.34
0.76,"Ideal","I","VS2",61.7,56,3075,5.87,5.9,3.63
1.03,"Ideal","F","VVS2",61.9,53,9131,6.52,6.54,4.04
0.45,"Good","G","VS1",60.7,60.4,1246,4.94,4.98,3.01
0.31,"Ideal","E","VS2",61.5,56,872,4.37,4.34,2.68
0.52,"Ideal","E","VS2",62.3,53,1549,5.17,5.2,3.23
0.31,"Very Good","G","VVS2",62.2,56,651,4.31,4.34,2.69
0.24,"Very Good","I","VS1",61.8,56,397,3.98,4.01,2.46
1.53,"Ideal","E","SI2",61,55,10698,7.44,7.5,4.55
1.12,"Ideal","D","I1",60.6,55,4139,6.73,6.76,4.09
2.66,"Good","H","SI2",63.8,57,16239,8.71,8.65,5.54
0.63,"Ideal","E","VS2",60.8,57,2513,5.53,5.55,3.37
0.24,"Very Good","E","VVS2",62.4,58,552,3.96,3.99,2.48
0.3,"Ideal","F","VS2",61.8,56,605,4.3,4.31,2.66
0.37,"Very Good","H","VS2",61.2,54,537,4.62,4.7,2.85
0.77,"Ideal","E","VS1",62,56,3697,5.87,5.9,3.65
1.01,"Very Good","G","VS2",63.1,55,5294,6.38,6.36,4.02
0.73,"Ideal","E","VS2",61.6,56,3429,5.8,5.82,3.58
1.25,"Ideal","G","VVS2",62.2,55,10983,6.87,6.93,4.29
0.9,"Very Good","H","VVS2",62.9,58,4186,6.1,6.15,3.85
0.3,"Good","G","VVS2",63.5,56,684,4.29,4.34,2.74
1.1,"Ideal","I","VS1",60.8,58,5291,6.68,6.63,4.04
0.57,"Ideal","E","VS2",60.8,56,1819,5.4,5.35,3.27
0.71,"Premium","F","VS2",62.1,58,2777,5.67,5.7,3.53
1,"Fair","E","VS2",67,54,5729,6.23,6.18,4.16
0.3,"Premium","D","SI1",62.5,58,552,4.27,4.31,2.68
0.54,"Very Good","F","VS1",61.8,59,1653,5.15,5.22,3.21
1.5,"Ideal","G","SI2",62,57,8580,7.26,7.31,4.52
0.94,"Premium","D","VS1",62.3,58,5980,6.34,6.28,3.93
